status,reason,source,title,begin,end,lat,lng,link
"DROPPED","OUT_OF_WINDOW","mobilize","ICM Grow the Movement (GTM) Committee Meeting","2025-10-27","2025-10-27","","","https://www.mobilize.us/icmgeorgia/event/748218/"
"DROPPED","OUT_OF_WINDOW","mobilize","GCDP Community Gathering: Walk and Talks for our Candidates!","2025-10-16","2025-10-16","39.7141639","-83.8851085","https://www.mobilize.us/greenecountyohdemocraticparty/event/748256/"
"DROPPED","OUT_OF_WINDOW","mobilize","EPYD General Meeting","2025-10-09","2025-10-09","31.7719059","-106.4801139","https://www.mobilize.us/elpasocountydemocrats/event/748258/"
"DROPPED","OUT_OF_WINDOW","mobilize","GCDP Monthly Meeting","2025-10-09","2025-10-09","29.4098148","-95.0315416","https://www.mobilize.us/gcdptx/event/748285/"
"DROPPED","OUT_OF_WINDOW","mobilize","Take Ten to Tap into Your Power!","2025-10-07","2025-10-07","38.5474428","-121.7765309","https://www.mobilize.us/indivisibleyolo/event/748309/"
"DROPPED","OUT_OF_WINDOW","mobilize","ACLU of FL Banned Book Club","2025-10-07","2025-10-07","","","https://www.mobilize.us/aclufl/event/748335/"
"DROPPED","OUT_OF_WINDOW","mobilize","NKY Environmental Justice Committee","2025-10-07","2025-10-07","39.0140872","-84.6008093","https://www.mobilize.us/kftc/event/748345/"
"DROPPED","OUT_OF_WINDOW","mobilize","DEC Monthly Meeting","2025-10-20","2025-10-20","","","https://www.mobilize.us/orangecountydec/event/748389/"
"DROPPED","OUT_OF_WINDOW","mobilize","Volunteer Interest Meetings","2025-10-27","2025-10-27","36.1961749","-86.8044586","https://www.mobilize.us/tappactioncouncils/event/748396/"
"DROPPED","OUT_OF_WINDOW","mobilize","Weekly Volunteer Information Call!","2025-10-08","2025-10-08","","","https://www.mobilize.us/spanbergerforgovernor/event/748506/"
"DROPPED","OUT_OF_WINDOW","mobilize","AADC Coffee and Conversation","2025-10-03","2025-10-03","38.9083855","-121.0777888","https://www.mobilize.us/cadems/event/748509/"
"DROPPED","OUT_OF_WINDOW","mobilize","Wake Senior Democrats Monthly Organizing","2025-10-08","2025-10-08","35.7803977","-78.6390989","https://www.mobilize.us/ncseniordemocrat/event/748511/"
"DROPPED","OUT_OF_WINDOW","mobilize","Drinking Liberally at the Charlotte Harbor Yacht Club","2025-10-16","2025-10-16","26.9596983","-82.0810568","https://www.mobilize.us/charlottecountydec/event/748592/"
"DROPPED","OUT_OF_WINDOW","mobilize","Public School Strong: City of Decatur School Board Meeting","2025-10-14","2025-10-14","33.7730154","-84.3009875","https://www.mobilize.us/georgiayouthjustice/event/748607/"
"DROPPED","OUT_OF_WINDOW","mobilize","Public School Strong: Atlanta School Board Meeting","2025-10-06","2025-10-06","33.7483808","-84.3921099","https://www.mobilize.us/georgiayouthjustice/event/748620/"
"DROPPED","OUT_OF_WINDOW","mobilize","Public School Strong: Bibb School Board Meeting","2025-10-16","2025-10-16","32.8558632","-83.6434194","https://www.mobilize.us/georgiayouthjustice/event/748630/"
"DROPPED","OUT_OF_WINDOW","mobilize","Too Much DISINFORMATION: How to Spot Propaganda (and What to Do About It) 🔍🚫","2025-10-04","2025-10-04","40.6073818","-75.4781662","https://www.mobilize.us/bluevote/event/748652/"
"DROPPED","OUT_OF_WINDOW","mobilize","Voter Registration @ UCF!","2025-10-03","2025-10-03","28.6024274","-81.2000599","https://www.mobilize.us/peoplepowerforflorida/event/748659/"
"DROPPED","OUT_OF_WINDOW","mobilize","Phonebanking with People Power for Florida","2025-10-09","2025-10-09","","","https://www.mobilize.us/peoplepowerforflorida/event/748663/"
"DROPPED","OUT_OF_WINDOW","mobilize","Hempfield Democrats Monthly Meeting (Virtual)","2025-11-10","2025-11-10","40.0425751","-76.4265946","https://www.mobilize.us/lancastercountydems/event/748701/"
"DROPPED","OUT_OF_WINDOW","mobilize","Hempfield Democrats Monthly Meeting (In Person)","2025-10-13","2025-10-13","40.0425751","-76.4265946","https://www.mobilize.us/lancastercountydems/event/748702/"
"DROPPED","OUT_OF_WINDOW","mobilize","CAC National Monthly Climate Activists Meet Up","2025-10-07","2025-10-07","","","https://www.mobilize.us/climateactioncampaign/event/748732/"
"DROPPED","OUT_OF_WINDOW","mobilize","Blue Action SWATX Monthly Meeting (in-person)","2025-10-05","2025-10-05","30.2254656","-97.8521032","https://www.mobilize.us/blueactiondems/event/748846/"
"DROPPED","OUT_OF_WINDOW","mobilize","CTD Calls Congress Together! Join Us!","2025-10-07","2025-10-07","","","https://www.mobilize.us/committodemocracy/event/748911/"
"KEPT","VIRTUAL","mobilize","Indivisible North Metro Atlanta Regular Monthly Meeting (VIRTUAL)","2025-12-07","2025-12-07","","","https://www.mobilize.us/indivisiblenorthmetroatlantaga/event/748973/"
"DROPPED","OUT_OF_WINDOW","mobilize","Indivisible North Metro Atlanta Quarterly Social (IN PERSON)","2025-10-26","2025-10-26","34.2073196","-84.1401926","https://www.mobilize.us/indivisiblenorthmetroatlantaga/event/748975/"
"DROPPED","OUT_OF_WINDOW","mobilize","Hispanic SemDems Vote by Mail Ballot Renewal Phone Bank","2025-10-25","2025-10-25","28.7007225","-81.349278","https://www.mobilize.us/semdems/event/749020/"
"DROPPED","OUT_OF_WINDOW","mobilize","Come Phonebank with the Milwaukee Democrats!","2025-10-07","2025-10-07","43.0810666","-88.0180506","https://www.mobilize.us/wisdems/event/749164/"
"DROPPED","OUT_OF_WINDOW","mobilize","LCDP Drinks with Dems","2025-10-08","2025-10-08","43.8117153","-91.2518969","https://www.mobilize.us/wisdems/event/749242/"
"DROPPED","OUT_OF_WINDOW","mobilize","Saturday Coffee","2025-10-04","2025-10-04","40.7561223","-86.3632177","https://www.mobilize.us/incasscountydemocraticparty/event/749252/"
"DROPPED","OUT_OF_WINDOW","mobilize","Monthly Happy Hour","2025-10-28","2025-10-28","37.5793536","-122.3164207","https://www.mobilize.us/sisterdistrictcapeninsula/event/749295/"
"DROPPED","OUT_OF_WINDOW","mobilize","Georgia Democratic Rural Council VoteBuilder Training","2025-10-06","2025-10-06","32.5404447","-82.903754","https://www.mobilize.us/georgiademocrats/event/749376/"
"DROPPED","OUT_OF_WINDOW","mobilize","NE Georgia: Indivisible Boldly Blue","2025-10-12","2025-10-12","33.7803626","-83.6880257","https://www.mobilize.us/indivisibleboldlyblue/event/749415/"
"DROPPED","OUT_OF_WINDOW","mobilize","Iredell County Democrats Monthly Meeting","2025-10-21","2025-10-21","35.7678029","-80.9207737","https://www.mobilize.us/iredellcountydems/event/749439/"
"DROPPED","OUT_OF_WINDOW","mobilize","Texting Work Group (IN-PERSON!)","2025-10-11","2025-10-11","38.5727923","-121.749579","https://www.mobilize.us/sisterdistrictca3/event/749540/"
"DROPPED","OUT_OF_WINDOW","mobilize","Tallahassee Action Team Meeting","2025-10-28","2025-10-28","30.4380832","-84.2809332","https://www.mobilize.us/aclufl/event/749552/"
"KEPT","VIRTUAL","mobilize","November National REV UP Call","2025-11-19","2025-11-19","","","https://www.mobilize.us/rev-up-aapd/event/749593/"
"DROPPED","OUT_OF_WINDOW","mobilize","Jefferson County KFTC Energy Justice Working Group","2025-10-22","2025-10-22","38.2429908","-85.7641013","https://www.mobilize.us/kftc/event/749700/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","38.4888949","-121.2740813","https://www.mobilize.us/brady/event/749720/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","46.9770179","-122.858419","https://www.mobilize.us/brady/event/749726/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","47.2457073","-122.4773432","https://www.mobilize.us/brady/event/749728/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","44.9464822","-123.0018941","https://www.mobilize.us/brady/event/749730/"
"DROPPED","OUT_OF_WINDOW","mobilize","NEPA Stands Up New Member Orientation","2025-10-02","2025-10-02","","","https://www.mobilize.us/pastandsup/event/749779/"
"DROPPED","OUT_OF_WINDOW","mobilize","WisDems Virtual Phonebank!","2025-10-04","2025-10-04","","","https://www.mobilize.us/wisdems/event/749814/"
"DROPPED","OUT_OF_WINDOW","mobilize","New VAN Admin Training","2025-10-22","2025-10-22","","","https://www.mobilize.us/floridadems/event/749848/"
"DROPPED","OUT_OF_WINDOW","mobilize","Stop Microplastics Now! Campaign Meeting","2025-10-14","2025-10-14","","","https://www.mobilize.us/fwa/event/749867/"
"DROPPED","OUT_OF_WINDOW","mobilize","Welcome to Brady:  New Volunteer Info Session","2025-10-08","2025-10-08","39.6631609","-104.8279512","https://www.mobilize.us/brady/event/749870/"
"DROPPED","OUT_OF_WINDOW","mobilize","Welcome to Brady:  New Volunteer Info Session","2025-10-08","2025-10-08","38.58","-121.49","https://www.mobilize.us/brady/event/749871/"
"DROPPED","OUT_OF_WINDOW","mobilize","Dunwoody Dems Monthly Meeting","2025-10-28","2025-10-28","33.9355234","-84.3131129","https://www.mobilize.us/dekalbcountydemocrats/event/749923/"
"DROPPED","OUT_OF_WINDOW","mobilize","Delaware WFP Welcome Gathering","2025-10-29","2025-10-29","39.6203775","-75.7487779","https://www.mobilize.us/delawareworkingfamiliesparty/event/749970/"
"DROPPED","OUT_OF_WINDOW","mobilize","Texting Tuesdays","2025-10-07","2025-10-07","","","https://www.mobilize.us/blackvotersmatter/event/749975/"
"DROPPED","OUT_OF_WINDOW","mobilize","Life After Release Monthly Volunteer Meeting","2025-10-16","2025-10-16","","","https://www.mobilize.us/lifeafterrelease/event/749984/"
"DROPPED","OUT_OF_WINDOW","mobilize","Placer Action Network Monthly Meeting (Virtual)","2025-11-11","2025-11-11","38.7902545","-121.3770336","https://www.mobilize.us/cadems/event/750006/"
"DROPPED","OUT_OF_WINDOW","mobilize","Seattle Indivisible Monthly Meeting","2025-11-05","2025-11-05","47.5994611","-122.3119033","https://www.mobilize.us/seattleindivisible/event/750010/"
"DROPPED","OUT_OF_WINDOW","mobilize","2025 Member Power Calls","2025-10-28","2025-10-28","","","https://www.mobilize.us/powercaaction/event/750030/"
"DROPPED","OUT_OF_WINDOW","mobilize","Lake County Democratic Environmental Caucus General Meeting and Program","2025-10-27","2025-10-27","","","https://www.mobilize.us/lakecountydec/event/750180/"
"DROPPED","OUT_OF_WINDOW","mobilize","October Central Committee Meeting","2025-10-27","2025-10-27","33.7675239","-117.9424743","https://www.mobilize.us/dpoc/event/750199/"
"KEPT","GEO","mobilize","November Central Committee Meeting","2025-11-17","2025-11-17","33.7675239","-117.9424743","https://www.mobilize.us/dpoc/event/750200/"
"DROPPED","OUT_OF_WINDOW","mobilize","October Executive Committee Meeting","2025-10-20","2025-10-20","","","https://www.mobilize.us/dpoc/event/750212/"
"DROPPED","OUT_OF_WINDOW","mobilize","November Executive Committee Meeting","2025-11-10","2025-11-10","","","https://www.mobilize.us/dpoc/event/750213/"
"DROPPED","OUT_OF_WINDOW","mobilize","Defy the MAGA Agenda (Nāʻālehu)","2025-10-12","2025-10-12","19.0609037","-155.586099","https://www.mobilize.us/protecthawaii2025/event/750214/"
"DROPPED","OUT_OF_WINDOW","mobilize","Defy the MAGA Agenda (Waimea, Hawai'i Island)","2025-10-05","2025-10-05","20.020452","-155.66391","https://www.mobilize.us/protecthawaii2025/event/750216/"
"DROPPED","OUT_OF_WINDOW","mobilize","BCDP #5 Training Course: Volunteer Deputy Registrar (VDR) Best Tools & Techniques from BCDP","2025-10-04","2025-10-04","29.4246002","-98.4951405","https://www.mobilize.us/bexardemocrat/event/750219/"
"DROPPED","OUT_OF_WINDOW","mobilize","Reading Club","2025-10-08","2025-10-08","42.1080703","-87.7365286","https://www.mobilize.us/newtrierdemocraticorganization/event/750247/"
"DROPPED","OUT_OF_WINDOW","mobilize","Passion2Power: Get Bold. Be Heard. Make Change.","2025-10-05","2025-10-05","","","https://www.mobilize.us/educateus/event/750255/"
"DROPPED","OUT_OF_WINDOW","mobilize","Oak Forest Area Democrats October 2025 Meeting - Mon. 10/6 7pm","2025-10-06","2025-10-06","29.8027026","-95.4329497","https://www.mobilize.us/hcdp/event/750269/"
"DROPPED","OUT_OF_WINDOW","mobilize","Fulton County | Monthly Meeting","2025-10-09","2025-10-09","33.7411067","-84.3927259","https://www.mobilize.us/georgiademocrats/event/750274/"
"DROPPED","OUT_OF_WINDOW","mobilize","MoveOn: Volunteer Network Call","2025-10-20","2025-10-20","","","https://www.mobilize.us/moveon/event/750276/"
"DROPPED","OUT_OF_WINDOW","mobilize","South Fulton Democrats | Monthly Meeting","2025-10-18","2025-10-18","33.617034","-84.469802","https://www.mobilize.us/georgiademocrats/event/750325/"
"DROPPED","OUT_OF_WINDOW","mobilize","Midfulton Democrats | Monthly Meeting","2025-10-27","2025-10-27","33.7589028","-84.364802","https://www.mobilize.us/georgiademocrats/event/750330/"
"DROPPED","OUT_OF_WINDOW","mobilize","How We Win in 2026 - Relational Organizing Training - Texas Blue Action Network","2025-10-15","2025-10-15","","","https://www.mobilize.us/blueactiondems/event/750347/"
"DROPPED","OUT_OF_WINDOW","mobilize","Williamson County Young Dems Monthly Meet-Up","2025-11-06","2025-11-06","30.5567694","-97.6871181","https://www.mobilize.us/texasyds/event/750441/"
"DROPPED","OUT_OF_WINDOW","mobilize","Barrow County Democratic Committee","2025-10-13","2025-10-13","33.9910462","-83.7092199","https://www.mobilize.us/georgiademocrats/event/750462/"
"DROPPED","OUT_OF_WINDOW","mobilize","OCDC Monthly Business Meeting","2025-10-15","2025-10-15","42.8905509","-77.2192354","https://www.mobilize.us/ontariodemocrats/event/750529/"
"DROPPED","OUT_OF_WINDOW","mobilize","Pinal County Democratic Party Executive Committee Meeting","2025-10-07","2025-10-07","","","https://www.mobilize.us/pinalcountydemocrats/event/750540/"
"DROPPED","OUT_OF_WINDOW","mobilize","Chair Office Hours - City of Maricopa","2025-10-28","2025-10-28","33.0583225","-112.0445005","https://www.mobilize.us/pinalcountydemocrats/event/750542/"
"DROPPED","OUT_OF_WINDOW","mobilize","Columbia County Democrats Monthly Meeting","2025-10-21","2025-10-21","41.0032147","-76.4561297","https://www.mobilize.us/columbiacountydemocraticparty/event/750602/"
"DROPPED","OUT_OF_WINDOW","mobilize","SemDems Small Business Collective Mixer","2025-10-06","2025-10-06","28.800557","-81.3069315","https://www.mobilize.us/semdems/event/750608/"
"DROPPED","OUT_OF_WINDOW","mobilize","It's Blue Turn Indivisible Monthly Meeting in Mountain View","2025-10-25","2025-10-25","37.3893889","-122.0832101","https://www.mobilize.us/indivisible/event/750621/"
"DROPPED","OUT_OF_WINDOW","mobilize","Uptown Neighborhood Chapter Meeting","2025-10-15","2025-10-15","39.9527237","-75.1635262","https://www.mobilize.us/onepa/event/750646/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","39.7312095","-104.9826965","https://www.mobilize.us/brady/event/750671/"
"DROPPED","OUT_OF_WINDOW","mobilize","Indivisible Mid-Peninsula October General Meeting","2025-10-22","2025-10-22","37.5022744","-122.2577336","https://www.mobilize.us/indivisiblemidpen/event/750675/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","39.1599999","-119.77","https://www.mobilize.us/brady/event/750679/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","43.0833196","-89.3724769","https://www.mobilize.us/brady/event/750683/"
"KEPT","GEO","mobilize","Join us for the State Election Board Meeting!","2025-12-09","2025-12-09","33.7491536","-84.3881408","https://www.mobilize.us/commoncause/event/750684/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","44.9095374","-93.1679257","https://www.mobilize.us/brady/event/750687/"
"DROPPED","OUT_OF_WINDOW","mobilize","Ashburn Dems October Meeting","2025-10-22","2025-10-22","39.0293787","-77.4861823","https://www.mobilize.us/loudouncountydemocraticcommittee/event/750751/"
"DROPPED","OUT_OF_WINDOW","mobilize","Rutherford County Democratic Women monthly meeting","2025-10-30","2025-10-30","35.8441555","-86.3920607","https://www.mobilize.us/demwomenheartoftheparty/event/750843/"
"DROPPED","OUT_OF_WINDOW","mobilize","How to Hold Your Own Swing State, In-Person Voter Drive - Field Team 6 style!","2025-10-05","2025-10-05","","","https://www.mobilize.us/ft6/event/750876/"
"DROPPED","OUT_OF_WINDOW","mobilize","Care Worker Meet Up","2025-10-24","2025-10-24","34.0683297","-80.9525979","https://www.mobilize.us/ndwa-c4/event/750881/"
"DROPPED","OUT_OF_WINDOW","mobilize","North Fulton Dems | Monthly Meeting","2025-10-16","2025-10-16","33.9721077","-84.3589579","https://www.mobilize.us/georgiademocrats/event/750887/"
"KEPT","GEO","mobilize","Democrat Groupies: Supporting the Arts","2025-11-15","2025-11-15","39.8051529","-85.7715357","https://www.mobilize.us/hancockindems/event/750933/"
"DROPPED","OUT_OF_WINDOW","mobilize","Virtual Phone Banking - Volunteer Mobilization","2025-10-13","2025-10-13","","","https://www.mobilize.us/equalityflorida/event/750956/"
"DROPPED","OUT_OF_WINDOW","mobilize","Newburgh Calls and Cocktails","2025-10-08","2025-10-08","41.5024516","-74.013145","https://www.mobilize.us/forthemany/event/751054/"
"DROPPED","OUT_OF_WINDOW","mobilize","Fayette Young Dems Monthly Meeting","2025-10-25","2025-10-25","33.4487257","-84.4549262","https://www.mobilize.us/georgiademocrats/event/751122/"
"KEPT","VIRTUAL","mobilize","Somerville Ward 5 Democratic Committee","2025-11-13","2025-11-13","","","https://www.mobilize.us/massdems/event/751225/"
"DROPPED","OUT_OF_WINDOW","mobilize","Sunday Tea & Virtual Democratic Phonebank for US House Special Elections","2025-10-05","2025-10-05","42.3991718","-71.1240559","https://www.mobilize.us/massdems/event/751236/"
"DROPPED","OUT_OF_WINDOW","mobilize","LGBTQIA+ Virtual Democratic Phonebank for US House Special Elections","2025-10-05","2025-10-05","42.3991718","-71.1240559","https://www.mobilize.us/massdems/event/751251/"
"DROPPED","OUT_OF_WINDOW","mobilize","Sunrise NYC: October hub meeting","2025-10-19","2025-10-19","40.7153276","-73.9837835","https://www.mobilize.us/sunrisemovement/event/751280/"
"KEPT","GEO","mobilize","Sunrise NYC: November hub meeting","2025-11-16","2025-11-16","40.7153276","-73.9837835","https://www.mobilize.us/sunrisemovement/event/751281/"
"KEPT","GEO","mobilize","Sunrise NYC: December hub meeting","2025-12-21","2025-12-21","40.7153276","-73.9837835","https://www.mobilize.us/sunrisemovement/event/751282/"
"DROPPED","OUT_OF_WINDOW","mobilize","LD9 Dems Monthly Meeting - Hybrid","2025-10-16","2025-10-16","","","https://www.mobilize.us/ld9democrats/event/751329/"
"DROPPED","OUT_OF_WINDOW","mobilize","Lincoln County Democrats Monthly Meetings","2025-10-21","2025-10-21","43.4305728","-96.6994444","https://www.mobilize.us/sddp/event/751339/"
"KEPT","GEO","mobilize","Black Voters Matter Book Club","2025-11-19","2025-11-19","40.6815619","-73.9785952","https://www.mobilize.us/blackvotersmatter/event/751343/"
"DROPPED","OUT_OF_WINDOW","mobilize","Monroe County Democrats Monthly Meeting","2025-10-06","2025-10-06","43.9426858","-90.8107207","https://www.mobilize.us/wisdems/event/751349/"
"DROPPED","OUT_OF_WINDOW","mobilize","Food Scraps Collection: Encino Farmers' Market","2025-10-05","2025-10-05","34.186029","-118.5130524","https://www.mobilize.us/lacompost/event/751350/"
"DROPPED","OUT_OF_WINDOW","mobilize","Group Meeting","2025-10-22","2025-10-22","38.5714624","-76.0763177","https://www.mobilize.us/cambridgeindivisible/event/751398/"
"DROPPED","OUT_OF_WINDOW","mobilize","Blue Door Cafe","2025-10-17","2025-10-17","29.6589537","-82.3345071","https://www.mobilize.us/alachuadems/event/751422/"
"DROPPED","OUT_OF_WINDOW","mobilize","Breakfast with the Mayor!","2025-10-15","2025-10-15","29.6589537","-82.3345071","https://www.mobilize.us/alachuadems/event/751423/"
"DROPPED","OUT_OF_WINDOW","mobilize","Host a ""Solidarity Shindig""","2025-10-02","2025-10-02","","","https://www.mobilize.us/sisterdistrictmari/event/751430/"
"DROPPED","OUT_OF_WINDOW","mobilize","Lake Merritt Trump Vigil, Oakland","2025-10-07","2025-10-07","37.811509","-122.2479833","https://www.mobilize.us/indivisible/event/751435/"
"DROPPED","OUT_OF_WINDOW","mobilize","Worth Fighting For Rt Cty In-Person Meeting","2025-11-06","2025-11-06","40.4848003","-106.831735","https://www.mobilize.us/worthfightingforrouttcounty/event/751452/"
"DROPPED","OUT_OF_WINDOW","mobilize","Unlock the Joy of Phone Banking🌟Free Class for Aspiring Volunteers","2025-10-04","2025-10-04","40.6073818","-75.4781662","https://www.mobilize.us/bluevote/event/751497/"
"DROPPED","OUT_OF_WINDOW","mobilize","Plant City Dems Monthly Meeting","2025-10-06","2025-10-06","28.013674","-82.116873","https://www.mobilize.us/hillsboroughcountydec/event/751531/"
"DROPPED","OUT_OF_WINDOW","mobilize","Bull City Indivisible","2025-10-05","2025-10-05","35.996653","-78.9018053","https://www.mobilize.us/bullcityindivisiblenc/event/751541/"
"DROPPED","OUT_OF_WINDOW","mobilize","Sunrise PDX General Meeting","2025-10-07","2025-10-07","45.5202471","-122.674194","https://www.mobilize.us/sunrisemovement/event/751544/"
"DROPPED","OUT_OF_WINDOW","mobilize","Placer Action Network Monthly Meeting (In-Person)","2025-10-14","2025-10-14","38.7907339","-121.2357828","https://www.mobilize.us/cadems/event/751559/"
"DROPPED","OUT_OF_WINDOW","mobilize","Neighborhood Team Meeting - Beavercreek South","2025-10-20","2025-10-20","39.7092262","-84.0632685","https://www.mobilize.us/greenecountyohdemocraticparty/event/751573/"
"DROPPED","OUT_OF_WINDOW","mobilize","Neighborhood Team Meeting - Beavercreek North","2025-10-20","2025-10-20","39.7092262","-84.0632685","https://www.mobilize.us/greenecountyohdemocraticparty/event/751574/"
"DROPPED","OUT_OF_WINDOW","mobilize","Neighborhood Team Meeting - Bellbrook/Sugarcreek","2025-10-08","2025-10-08","39.6358399","-84.0701766","https://www.mobilize.us/greenecountyohdemocraticparty/event/751575/"
"DROPPED","OUT_OF_WINDOW","mobilize","Neighborhood Team Meeting - Yellow Springs","2025-10-22","2025-10-22","","","https://www.mobilize.us/greenecountyohdemocraticparty/event/751576/"
"DROPPED","OUT_OF_WINDOW","mobilize","Neighborhood Team Meeting - Xenia Jamestown SV et al","2025-10-09","2025-10-09","39.6847822","-83.9296526","https://www.mobilize.us/greenecountyohdemocraticparty/event/751578/"
"DROPPED","OUT_OF_WINDOW","mobilize","Eastside Democrats Meeting","2025-10-06","2025-10-06","31.7948303","-106.3661117","https://www.mobilize.us/elpasocountydemocrats/event/751603/"
"DROPPED","OUT_OF_WINDOW","mobilize","Neighborhood Team Meeting - Fairborn/Bath Twp","2025-10-23","2025-10-23","39.8208998","-84.0193858","https://www.mobilize.us/greenecountyohdemocraticparty/event/751646/"
"DROPPED","OUT_OF_WINDOW","mobilize","Federal Fightback Phonebank","2025-10-09","2025-10-09","","","https://www.mobilize.us/michiganlcv/event/751689/"
"DROPPED","OUT_OF_WINDOW","mobilize","DeKalb Dems Monthly Special Events Committee Meeting","2025-10-07","2025-10-07","","","https://www.mobilize.us/dekalbcountydemocrats/event/751697/"
"DROPPED","OUT_OF_WINDOW","mobilize","LD 4 Precinct Committeeperson (PC) Training","2025-10-05","2025-10-05","33.5747939","-112.0195269","https://www.mobilize.us/ld4democrats/event/751738/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","42.7043124","-84.5327038","https://www.mobilize.us/brady/event/751792/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","39.79","-89.62","https://www.mobilize.us/brady/event/751794/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","42.6547387","-73.7889689","https://www.mobilize.us/brady/event/751796/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","40.2450268","-74.7863698","https://www.mobilize.us/brady/event/751798/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","38.979434","-76.4919706","https://www.mobilize.us/brady/event/751800/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","37.5374438","-77.5275463","https://www.mobilize.us/brady/event/751803/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","39.1850643","-75.5975296","https://www.mobilize.us/brady/event/751806/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","42.3476181","-71.1002881","https://www.mobilize.us/brady/event/751807/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","43.6629964","-70.2568775","https://www.mobilize.us/brady/event/751813/"
"DROPPED","OUT_OF_WINDOW","mobilize","Take Action Thursdays: Learn and Take Action!","2025-10-16","2025-10-16","","","https://www.mobilize.us/blueactiondems/event/751849/"
"DROPPED","OUT_OF_WINDOW","mobilize","Blue Action - Office Hours & Friendbank","2025-10-09","2025-10-09","","","https://www.mobilize.us/blueactiondems/event/751856/"
"DROPPED","OUT_OF_WINDOW","mobilize","Northern York County Democratic Club Monthly Meeting","2025-11-09","2025-11-09","40.1109413","-77.0358059","https://www.mobilize.us/yorkcountydemocraticcommittee/event/751915/"
"DROPPED","OUT_OF_WINDOW","mobilize","Northern York County Democratic Club Monthly Meeting","2025-10-05","2025-10-05","40.1302489","-76.8040544","https://www.mobilize.us/yorkcountydemocraticcommittee/event/751916/"
"KEPT","GEO","mobilize","Northern York County Democratic Club Holiday Party","2025-12-07","2025-12-07","40.1109413","-77.0358059","https://www.mobilize.us/yorkcountydemocraticcommittee/event/751921/"
"DROPPED","OUT_OF_WINDOW","mobilize","Democratic Society of York Monthly Meeting","2025-10-08","2025-10-08","39.9661838","-76.7484898","https://www.mobilize.us/yorkcountydemocraticcommittee/event/751973/"
"DROPPED","OUT_OF_WINDOW","mobilize","Volunteer Training: Become an LGBTQ+ Activist!","2025-11-06","2025-11-06","","","https://www.mobilize.us/equalityflorida/event/752144/"
"DROPPED","OUT_OF_WINDOW","mobilize","Greater Triangle Coalition Connection","2025-10-15","2025-10-15","","","https://www.mobilize.us/democracync/event/752184/"
"DROPPED","OUT_OF_WINDOW","mobilize","Northside/Mckees Rocks Neighborhood Chapter Meeting","2025-10-09","2025-10-09","40.4649812","-80.0588032","https://www.mobilize.us/onepa/event/752199/"
"DROPPED","OUT_OF_WINDOW","mobilize","Reality Check: Non-Fiction Book Club","2025-10-16","2025-10-16","36.0283776","-84.2403403","https://www.mobilize.us/andersoncountydemocraticparty/event/752269/"
"DROPPED","OUT_OF_WINDOW","mobilize","Organizing Hub Phone Banking TBD","2025-11-02","2025-11-02","42.3476181","-71.1002881","https://www.mobilize.us/massdems/event/752298/"
"DROPPED","OUT_OF_WINDOW","mobilize","Books and Ballots with LD27 Democrats","2025-10-11","2025-10-11","33.6585748","-112.1786033","https://www.mobilize.us/ld27democrats/event/752346/"
